Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/7425-Evanston-Ave-Indianapolis-IN-46240/1262144_zpid/,,Single Family,65000,09/06/24,1050,sqft,61.9,0.26,acres,3,1,7425 Evanston Ave,Indianapolis,46240,IN,USA
https://www.zillow.com/homedetails/18-N-Vine-St-Indianapolis-IN-46222/1282281_zpid/,,Single Family,65000,10/02/24,1024,sqft,63.48,6011,sqft,2,,18 N Vine St,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/2221-N-Moreland-Ave-Indianapolis-IN-46222/1298187_zpid/,,Single Family,65000,09/23/24,1160,sqft,56.03,6403,sqft,4,,2221 N Moreland Ave,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/1206-Groff-Ave-Indianapolis-IN-46222/1290688_zpid/,,Single Family,65500,11/12/24,1469,sqft,44.59,4356,sqft,3,1,1206 Groff Ave,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/8442-Georgiana-Ln-Indianapolis-IN-46226/1147123_zpid/,,Single Family,66000,11/29/24,864,sqft,76.39,9583.2,sqft,3,1,8442 Georgiana Ln,Indianapolis,46226,IN,USA
https://www.zillow.com/homedetails/1520-S-Sheffield-Ave-Indianapolis-IN-46221/1293282_zpid/,,Single Family,66000,09/11/24,1056,sqft,62.5,4791,sqft,3,1,1520 S Sheffield Ave,Indianapolis,46221,IN,USA
https://www.zillow.com/homedetails/2249-N-Centennial-St-Indianapolis-IN-46222/1298090_zpid/,,Single Family,66500,10/25/24,725,sqft,91.72,5227.2,sqft,2,1,2249 N Centennial St,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/3309-W-22nd-St-Indianapolis-IN-46222/1298360_zpid/,,Single Family,67000,11/08/24,821,sqft,81.61,5227.2,sqft,2,1,3309 W 22nd St,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/730-Haugh-St-Indianapolis-IN-46222/1289179_zpid/,,Single Family,67500,10/08/24,820,sqft,82.32,4312,sqft,3,,730 Haugh St,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/1124-Groff-Ave-Indianapolis-IN-46222/1290022_zpid/,,Single Family,67500,09/06/24,1810,sqft,37.29,3920.4,sqft,3,1,1124 Groff Ave,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/817-Birch-Ave-Indianapolis-IN-46221/1108857_zpid/,,Single Family,68000,11/08/24,806,sqft,84.37,4356,sqft,2,1,817 Birch Ave,Indianapolis,46221,IN,USA
https://www.zillow.com/homedetails/2845-Spruce-St-Indianapolis-IN-46203/1116298_zpid/,,Single Family,68000,11/06/24,920,sqft,73.91,4443,sqft,3,,2845 Spruce St,Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/6632-Meadowlark-Dr-Indianapolis-IN-46226/1145189_zpid/,,Single Family,68350,09/23/24,1000,sqft,68.35,8624,sqft,,,6632 Meadowlark Dr,Indianapolis,46226,IN,USA
https://www.zillow.com/homedetails/1629-Wade-St-Indianapolis-IN-46203/1107343_zpid/,,Single Family,68500,11/01/24,1684,sqft,40.68,5227.2,sqft,2,1,1629 Wade St,Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/14-N-Gray-St-Indianapolis-IN-46201/1080470_zpid/,,Single Family,70000,10/29/24,2621,sqft,26.71,6969.6,sqft,6,2,14 N Gray St,Indianapolis,46201,IN,USA
https://www.zillow.com/homedetails/2312-Churchman-Ave-Indianapolis-IN-46203/1102291_zpid/,,Single Family,70000,09/05/24,1696,sqft,41.27,4356,sqft,2,1,2312 Churchman Ave,Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/3639-N-Bancroft-St-Indianapolis-IN-46218/1116846_zpid/,,Single Family,70000,10/03/24,1800,sqft,38.89,8276.4,sqft,2,1,3639 N Bancroft St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/1128-S-Denny-St-Indianapolis-IN-46203/1117033_zpid/,,Single Family,70000,10/11/24,720,sqft,97.22,7405.2,sqft,2,1,1128 S Denny St,Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/8510-Athens-Ct-Indianapolis-IN-46226/1146515_zpid/,,Single Family,70000,09/09/24,1213,sqft,57.71,7754,acres,3,2,8510 Athens Ct,Indianapolis,46226,IN,USA
https://www.zillow.com/homedetails/8933-Rocky-Ridge-Rd-Indianapolis-IN-46217/1186660_zpid/,,Single Family,70000,09/20/24,1847,sqft,37.9,0.34,acres,3,2,8933 Rocky Ridge Rd,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/1842-N-Bauer-Rd-Indianapolis-IN-46218/1222875_zpid/,,Single Family,70000,09/06/24,1152,sqft,60.76,7797,sqft,2,,1842 N Bauer Rd,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/2507-S-Lyons-Ave-Indianapolis-IN-46241/1282543_zpid/,,Single Family,70000,09/23/24,1104,sqft,63.41,10367,sqft,3,,2507 S Lyons Ave,Indianapolis,46241,IN,USA
https://www.zillow.com/homedetails/750-King-Ave-Indianapolis-IN-46222/1289488_zpid/,,Single Family,70000,09/27/24,1726,sqft,40.56,6969.6,sqft,3,1,750 King Ave,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/2105-Columbia-Ave-Indianapolis-IN-46202/167201184_zpid/,,Single Family,70000,11/13/24,1394,sqft,50.22,2178,sqft,2,2,2105 Columbia Ave,Indianapolis,46202,IN,USA
https://www.zillow.com/homedetails/6219-E-Windsor-Dr-Indianapolis-IN-46219/1221611_zpid/,,Single Family,70166,10/30/24,816,sqft,85.99,7056,sqft,2,,6219 E Windsor Dr,Indianapolis,46219,IN,USA
https://www.zillow.com/homedetails/3535-N-Oxford-St-Indianapolis-IN-46218/1083544_zpid/,,Single Family,70300,09/27/24,1015,sqft,69.26,,,3,1,3535 N Oxford St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/1711-Thaddeus-St-Indianapolis-IN-46203/1084305_zpid/,,Single Family,72500,09/30/24,1008,sqft,71.92,6403,sqft,2,,1711 Thaddeus St,Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/2359-Stuart-St-Indianapolis-IN-46218/1099480_zpid/,,Single Family,73000,10/03/24,2582,sqft,28.27,5575.68,sqft,3,2,2359 Stuart St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/2433-N-Goodlet-Ave-Indianapolis-IN-46222/1298286_zpid/,,Single Family,73191,09/27/24,950,sqft,77.04,5009,sqft,2,,2433 N Goodlet Ave,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/1414-N-Rochester-Ave-Indianapolis-IN-46222/1290950_zpid/,,Single Family,73400,11/04/24,672,sqft,109.23,5227.2,sqft,2,1,1414 N Rochester Ave,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/2705-N-Gale-St-Indianapolis-IN-46218/1101918_zpid/,,Single Family,74296,09/27/24,2004,sqft,37.07,6969.6,sqft,4,,2705 N Gale St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/110-Wisconsin-St-Indianapolis-IN-46225/1090537_zpid/,,Single Family,74500,10/18/24,1604,sqft,46.45,6098.4,sqft,2,1,110 Wisconsin St,Indianapolis,46225,IN,USA
https://www.zillow.com/homedetails/3720-W-16th-St-Indianapolis-IN-46222/1280403_zpid/,,Single Family,74900,10/23/24,1164,sqft,64.35,5662.8,sqft,2,1,3720 W 16th St,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/3716-W-16th-St-Indianapolis-IN-46222/1283571_zpid/,,Single Family,74900,10/23/24,1341,sqft,55.85,5662.8,sqft,2,1,3716 W 16th St,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/2211-Station-St-Indianapolis-IN-46218/1103760_zpid/,,Single Family,75000,10/16/24,949,sqft,79.03,5227.2,sqft,2,1,2211 Station St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/3501-Caroline-Ave-Indianapolis-IN-46218/1115850_zpid/,,Single Family,75000,11/04/24,1480,sqft,50.68,5662.8,sqft,2,1,3501 Caroline Ave,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/1545-Mary-Dr-Indianapolis-IN-46241/1287666_zpid/,,Single Family,75000,09/18/24,690,sqft,108.7,8668,sqft,1,,1545 Mary Dr,Indianapolis,46241,IN,USA
https://www.zillow.com/homedetails/935-N-Belleview-Pl-Indianapolis-IN-46222/1291734_zpid/,,Single Family,75000,10/01/24,690,sqft,108.7,5662.8,sqft,2,2,935 N Belleview Pl,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/2218-Howard-St-Indianapolis-IN-46221/1292679_zpid/,,Single Family,75000,09/23/24,1136,sqft,66.02,3484.8,sqft,2,2,2218 Howard St,Indianapolis,46221,IN,USA
https://www.zillow.com/homedetails/3023-Green-Hills-Ln-N-Indianapolis-IN-46222/1299751_zpid/,,Single Family,75000,09/24/24,2216,sqft,33.84,0.53,acres,3,2,3023 Green Hills Ln N,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/3437-N-Elizabeth-St-Indianapolis-IN-46226/1224726_zpid/,,Single Family,75900,11/27/24,912,sqft,83.22,0.35,acres,3,1,3437 N Elizabeth St,Indianapolis,46226,IN,USA
https://www.zillow.com/homedetails/3945-E-31st-St-Indianapolis-IN-46218/1078081_zpid/,,Single Family,76000,11/20/24,1080,sqft,70.37,4356,sqft,3,1,3945 E 31st St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/827-S-Lynhurst-Dr-Indianapolis-IN-46241/1285263_zpid/,,Single Family,76300,09/20/24,1872,sqft,40.76,0.36,acres,2,1,827 S Lynhurst Dr,Indianapolis,46241,IN,USA
https://www.zillow.com/homedetails/2001-Glenridge-Dr-Indianapolis-IN-46218/1113096_zpid/,,Single Family,77000,09/19/24,1828,sqft,42.12,4791.6,sqft,2,2,2001 Glenridge Dr,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/1036-N-Kealing-Ave-Indianapolis-IN-46201/1089486_zpid/,,Single Family,77500,11/07/24,1584,sqft,48.93,3484.8,sqft,2,1,1036 N Kealing Ave,Indianapolis,46201,IN,USA
https://www.zillow.com/homedetails/4121-Mellis-Dr-Indianapolis-IN-46235/1148778_zpid/,,Single Family,79500,09/13/24,1200,sqft,66.25,0.27,acres,3,1,4121 Mellis Dr,Indianapolis,46235,IN,USA
https://www.zillow.com/homedetails/3605-N-Butler-Ave-Indianapolis-IN-46218/1214569_zpid/,,Single Family,79500,11/13/24,990,sqft,80.3,10454.4,sqft,3,1,3605 N Butler Ave,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/1141-W-37th-St-Indianapolis-IN-46208/1090817_zpid/,,Single Family,79900,10/09/24,1425,sqft,56.07,5662.8,sqft,3,2,1141 W 37th St,Indianapolis,46208,IN,USA
https://www.zillow.com/homedetails/2960-N-Chester-Ave-Indianapolis-IN-46218/1111018_zpid/,,Single Family,79900,10/10/24,1837,sqft,43.49,0.35,acres,2,1,2960 N Chester Ave,Indianapolis,46218,IN,USA
